text,category
A man kept following me from the bus stop to my apartment,Stalking
Someone is following my car very closely for miles,Stalking
A strange person has been trailing me since I left the mall,Stalking
I noticed a guy watching me every day when I leave for work,Stalking
There is someone shadowing me in the park,Stalking
A person is pursuing me on my evening walk,Stalking
Someone is stalking me online and threatening to find me,Stalking
A car has been parked outside my house and following me,Stalking
He chased me down the street asking for my number,Stalking
I feel like I'm being watched from the building opposite mine,Stalking
A weird guy trails me to the grocery store,Stalking
He won't stop following me around the campus,Stalking
A group of men were catcalling me and making lewd comments,Harassment
Someone groped me on the crowded train,Harassment
Colleague keeps making inappropriate sexual comments,Harassment
People shouting abusive words at me as I walk by,Harassment
A stranger touched me without my consent,Harassment
They were whistling and harassing me on the street,Harassment
Constant verbal abuse from neighbors,Harassment
A guy tried to molest me in the alleyway,Harassment
Unwanted touching by a passenger on the bus,Harassment
They kept harassing me with unwanted messages,Harassment
He harassed me and my friend at the club,Harassment
Gross comments about my body from a stranger,Harassment
A man pulled a knife on me and demanded my wallet,Threat
Someone threatened to kill me if I didn't comply,Threat
A person with a gun attacked me,Threat
He threatened to hurt my family,Threat
I was beaten up and assaulted by thugs,Threat
They threatened to attack me after school,Threat
A man with a weapon is standing outside,Threat
I received a death threat letter,Threat
He verbally threatened to assault me,Threat
They said they would hurt me if I called the cops,Threat
A dangerous person is threatening people with a bat,Threat
I was assaulted and my life was threatened,Threat
This alley is completely deserted and feels very unsafe,Unsafe Area
The abandoned building has sketchy people inside,Unsafe Area
This isolated road has no one around,Unsafe Area
An empty parking lot that feels very dangerous,Unsafe Area
It's a secluded area where crimes happen,Unsafe Area
This neighborhood is known to be an unsafe area,Unsafe Area
The deserted park at night is scary,Unsafe Area
A very lonely street with no houses around,Unsafe Area
The abandoned warehouse district is unsafe,Unsafe Area
Isolated stretch of highway with no cell service,Unsafe Area
Empty subway station late at night,Unsafe Area
An alleyway known for muggings,Unsafe Area
The streetlights are broken and it's completely dark,Poor Lighting
There is no light in this underground passage,Poor Lighting
The park is dim and unlit at night,Poor Lighting
Broken lamp post makes the street dark,Poor Lighting
The area has very poor lighting and visibility,Poor Lighting
Dark corner near the station,Poor Lighting
Unlit parking garage,Poor Lighting
The path is completely dark with no streetlights,Poor Lighting
Dimly lit staircase in my building,Poor Lighting
No light in the alley,Poor Lighting
Broken street light for weeks,Poor Lighting
It is too dark to walk safely here,Poor Lighting
A suspicious person is loitering near my car,Suspicious Activity
Weird guy lurking outside the school,Suspicious Activity
Someone is prowling around the backyards,Suspicious Activity
A stranger is peeking into people's windows,Suspicious Activity
Unusual activity near the ATM machine,Suspicious Activity
Suspicious men sitting in a van for hours,Suspicious Activity
Strange person taking photos of houses,Suspicious Activity
Someone is loitering outside the jewelry store,Suspicious Activity
A person lurking in the shadows of the alley,Suspicious Activity
Weird behavior by a stranger near the playground,Suspicious Activity
Suspicious activity spotted near the bank,Suspicious Activity
A man prowling around parked cars,Suspicious Activity
My wallet was stolen from my pocket,Other
Loud music playing late at night,Other
A stray dog bit my friend,Other
Car accident at the intersection,Other
Water pipe burst flooding the street,Other
Someone scratched my car with a key,Other
Lost my phone somewhere around here,Other
Garbage dumped illegally on the sidewalk,Other
Two cars crashed into each other,Other
A loud explosion sound was heard,Other
Vandalism on the park benches,Other
Traffic light is broken,Other
